title	pubdate	pubyear	journal	authors	volume	issue	pages	doi	pmid	elocationid	github	data	software
Meta-analysis of (single-cell method) benchmarks reveals the need for extensibility and interoperability.	2023 May 17	2023	Genome Biol	<strong>Sonrel A</strong>, <strong>Luetge A</strong>, <strong>Soneson C</strong>, <strong>Mallona I</strong>, <strong>Germain PL</strong>, Knyazev S, Gilis J, <strong>Gerber R</strong>, Seurinck R, <strong>Paul D</strong>, <strong>Sonder E</strong>, <strong>Crowell HL</strong>, <strong>Fanaswala I</strong>, Al-Ajami A, <strong>Heidari E</strong>, <strong>Schmeing S</strong>, <strong>Milosavljevic S</strong>, Saeys Y, Mangul S, <strong>Robinson MD</strong>	24	1	119	10.1186/s13059-023-02962-5	37198712	doi: 10.1186/s13059-023-02962-5	https://github.com/markrobinsonuzh/sc_benchmark_metaanalysis	https://doi.org/10.5281/zenodo.7096030	
Gapless provides combined scaffolding, gap filling, and assembly correction with long reads.	2023 Jul	2023	Life Sci Alliance	<strong>Schmeing S</strong>, <strong>Robinson MD</strong>	6	7		10.26508/lsa.202201471	37142439	doi: 10.26508/lsa.202201471			https://github.com/schmeing/gapless
Transformation of alignment files improves performance of variant callers for long-read RNA sequencing data.	2023 Apr 24	2023	Genome Biol	<strong>de Souza VBC</strong>, Jordan BT, Tseng E, Nelson EA, Hirschi KK, Sheynkman G, <strong>Robinson MD</strong>	24	1	91	10.1186/s13059-023-02923-y	37095564	doi: 10.1186/s13059-023-02923-y	https://github.com/vladimirsouza/lrRNAseqBenchmark	https://doi.org/10.5281/zenodo.7777147	https://github.com/vladimirsouza/lrRNAseqVariantCalling
The shaky foundations of simulating single-cell RNA sequencing data.	2023 Mar 29	2023	Genome Biol	<strong>Crowell HL</strong>, <strong>Morillo Leonardo SX</strong>, <strong>Soneson C</strong>, <strong>Robinson MD</strong>	24	1	62	10.1186/s13059-023-02904-1	36991470	doi: 10.1186/s13059-023-02904-1	https://github.com/HelenaLC/simulation-comparison	https://doi.org/10.5281/zenodo.6980272	
SampleQC: robust multivariate, multi-cell type, multi-sample quality control for single-cell data.	2023 Feb 10	2023	Genome Biol	<strong>Macnair W</strong>, <strong>Robinson M</strong>	24	1	23	10.1186/s13059-023-02859-3	36765378	doi: 10.1186/s13059-023-02859-3	https://github.com/wmacnair/SampleQC_paper_analyses		https://github.com/wmacnair/SampleQC
A Guide to Trajectory Inference and RNA Velocity.	2023	2023	Methods Mol Biol	Weiler P, Van den Berge K, Street K, <strong>Tiberi S</strong>	2584		269-292	10.1007/978-1-0716-2756-3_14	36495456	doi: 10.1007/978-1-0716-2756-3_14			
distinct: A novel approach to differential distribution analyses		2023	Ann. Appl. Stat.	<strong>Tiberi S</strong>, <strong>Crowell HL</strong>, Samartsidis P, <strong>Weber LM</strong>, <strong>Robinson MD</strong>	17	2	1681-1700	10.1214/22-AOAS1689		doi: 10.1214/22-AOAS1689	https://github.com/SimoneTiberi/distinct_manuscript		https://bioconductor.org/packages/distinct
Ten simple rules for computational biologists collaborating with wet lab researchers.	2024 Jun	2024	PLoS Comput Biol	<strong>Robinson MD</strong>, <strong>Cai P</strong>, <strong>Emons M</strong>, <strong>Gerber R</strong>, <strong>Germain PL</strong>, <strong>Gunz S</strong>, <strong>Luo S</strong>, <strong>Moro G</strong>, <strong>Sonder E</strong>, <strong>Sonrel A</strong>, <strong>Wang J</strong>, <strong>Wissel D</strong>, <strong>Mallona I</strong>	20	6	e1012174	10.1371/journal.pcbi.1012174	38900718	doi: 10.1371/journal.pcbi.1012174			
DifferentialRegulation: a Bayesian hierarchical approach to identify differentially regulated genes.	2024 Jun 17	2024	Biostatistics	<strong>Tiberi S</strong>, Meili J, <strong>Cai P</strong>, <strong>Soneson C</strong>, He D, Sarkar H, Avalos-Pacheco A, Patro R, <strong>Robinson MD</strong>			kxae017	10.1093/biostatistics/kxae017	38887902	pii: kxae017. doi: 10.1093/biostatistics/kxae017	https://github.com/SimoneTiberi/DifferentialRegulation_manuscript		https://bioconductor.org/packages/release/bioc/html/DifferentialRegulation.html
Molecular maps of synovial cells in inflammatory arthritis using an optimized synovial tissue dissociation protocol.	2024 Jun 21	2024	iScience	Edalat SG, <strong>Gerber R</strong>, Houtman M, Lückgen J, Teixeira RL, Palacios Cisneros MDP, Pfanner T, Kuret T, Ižanc N, Micheroli R, Polido-Pereira J, Saraiva F, Lingam S, Burki K, Burja B, Pauli C, Rotar Ž, Tomšič M, Čučnik S, Fonseca JE, Distler O, Calado Â, Romão VC, Ospelt C, Sodin-Semrl S, <strong>Robinson MD</strong>, Frank Bertoncelj M	27	6	109707	10.1016/j.isci.2024.109707	38832018	doi: 10.1016/j.isci.2024.109707			
A model of human neural networks reveals NPTX2 pathology in ALS and FTLD.	2024 Feb	2024	Nature	Hruska-Plochan M, Wiersma VI, Betz KM, <strong>Mallona I</strong>, Ronchi S, Maniecka Z, Hock EM, Tantardini E, Laferriere F, Sahadevan S, Hoop V, Delvendahl I, Pérez-Berlanga M, Gatta B, Panatta M, van der Bourg A, Bohaciakova D, Sharma P, De Vos L, Frontzek K, Aguzzi A, Lashley T, <strong>Robinson MD</strong>, Karayannis T, Mueller M, Hierlemann A, Polymenidou M	626	8001	1073-1083	10.1038/s41586-024-07042-7	38355792	doi: 10.1038/s41586-024-07042-7			
DESpace: spatially variable gene detection via differential expression testing of spatial clusters.	2024 Feb 1	2024	Bioinformatics	<strong>Cai P</strong>, <strong>Robinson MD</strong>, <strong>Tiberi S</strong>	40	2		10.1093/bioinformatics/btae027	38243704	doi: 10.1093/bioinformatics/btae027	https://github.com/peicai/DESpace_manuscript	https://doi.org/10.5281/zenodo.7829817	https://bioconductor.org/packages/release/bioc/html/DESpace.html
TTF1 control of LncRNA synthesis delineates a tumor suppressor pathway directly regulating the ribosomal RNA genes.	2024 May 19	2024	J Cell Physiol	Sibai DS, Tremblay MG, Lessard F, Tav C, Sabourin-Félix M, <strong>Robinson M</strong>, Moss T				10.1002/jcp.31303	38764354	doi: 10.1002/jcp.31303			
